Vardas              Pavarde             ND1   ND2   ND3   ND4   ND5   ND6   ND7   Egz.  
Vardas43            Pavarde43           9     8     2     3     5     10    3     5     
Vardas44            Pavarde44           9     4     1     8     2     8     6     9     
Vardas45            Pavarde45           7     1     1     7     4     9     7     8     
Vardas46            Pavarde46           7     3     1     4     6     7     4     6     
Vardas47            Pavarde47           3     6     7     7     4     5     7     6     
Vardas48            Pavarde48           7     2     10    6     8     4     6     4     
Vardas49            Pavarde49           3     6     2     8     5     1     9     3     
Vardas50            Pavarde50           4     4     1     9     1     6     1     2     
Vardas51            Pavarde51           1     2     5     4     8     1     5     7     
Vardas52            Pavarde52           3     9     10    2     9     3     10    9     
Vardas53            Pavarde53           5     8     3     10    1     6     5     3     
Vardas54            Pavarde54           10    7     4     8     9     6     7     9     
Vardas55            Pavarde55           3     7     10    10    6     4     8     5     
Vardas56            Pavarde56           4     1     6     4     8     2     5     7     
Vardas57            Pavarde57           7     4     4     10    4     3     1     10    
Vardas58            Pavarde58           10    2     6     1     1     8     8     1     
Vardas59            Pavarde59           4     8     3     6     9     2     3     3     
Vardas60            Pavarde60           1     1     5     2     5     9     8     7     
Vardas61            Pavarde61           6     4     9     2     3     8     6     2     
Vardas62            Pavarde62           8     6     1     5     8     1     4     9     
Vardas63            Pavarde63           1     10    4     1     3     9     6     5     
Vardas64            Pavarde64           8     10    5     9     2     1     5     3     
Vardas65            Pavarde65           10    4     10    9     5     7     10    2     
Vardas66            Pavarde66           5     6     8     4     10    1     1     1     
Vardas67            Pavarde67           2     5     3     5     8     3     9     1     
Vardas68            Pavarde68           10    2     3     2     5     3     6     3     
Vardas69            Pavarde69           1     4     1     9     9     5     3     1     
Vardas70            Pavarde70           8     10    9     8     2     7     1     9     
Vardas71            Pavarde71           10    3     4     10    9     6     5     1     
Vardas72            Pavarde72           2     10    4     7     2     1     6     3     
Vardas73            Pavarde73           2     7     10    6     2     1     10    3     
Vardas74            Pavarde74           5     3     9     2     5     8     6     8     
Vardas75            Pavarde75           7     3     5     3     6     8     5     6     
Vardas76            Pavarde76           9     3     8     4     10    10    10    1     
Vardas77            Pavarde77           8     7     5     5     7     4     9     8     
Vardas78            Pavarde78           9     6     4     3     4     4     6     2     
Vardas79            Pavarde79           9     2     6     6     10    7     5     3     
Vardas80            Pavarde80           2     5     2     7     6     3     10    4     
Vardas81            Pavarde81           9     1     6     4     1     1     3     2     
Vardas82            Pavarde82           8     4     5     7     6     5     2     8     
Vardas83            Pavarde83           7     3     10    3     6     1     2     3     
Vardas84            Pavarde84           4     4     8     3     8     8     5     10    
Vardas85            Pavarde85           3     8     3     7     7     2     6     2     
Vardas86            Pavarde86           1     1     4     4     2     9     4     8     
Vardas87            Pavarde87           3     9     5     2     7     9     6     8     
Vardas88            Pavarde88           4     1     8     1     5     3     7     7     
Vardas89            Pavarde89           9     7     9     1     7     5     7     8     
Vardas90            Pavarde90           8     7     9     9     9     6     6     4     
Vardas91            Pavarde91           5     10    2     6     8     2     1     9     
Vardas92            Pavarde92           3     9     7     2     1     3     2     5     
Vardas93            Pavarde93           5     6     10    5     2     7     6     8     
Vardas94            Pavarde94           2     3     7     4     9     2     2     5     
Vardas95            Pavarde95           5     10    4     6     4     1     5     4     
Vardas96            Pavarde96           10    1     7     9     2     1     4     9     
Vardas97            Pavarde97           4     1     10    3     4     5     7     9     
Vardas98            Pavarde98           4     6     6     5     3     3     6     1     
Vardas99            Pavarde99           8     8     5     8     4     6     6     9     
Vardas100           Pavarde100          5     7     9     5     6     10    9     3     
Vardas101           Pavarde101          5     10    7     5     1     5     2     4     
Vardas102           Pavarde102          6     1     7     4     3     9     2     10    
Vardas103           Pavarde103          2     5     9     10    9     3     10    1     
Vardas104           Pavarde104          1     9     1     5     3     9     7     1     
Vardas105           Pavarde105          9     9     1     9     6     4     7     9     
Vardas106           Pavarde106          10    6     10    2     9     2     2     7     
Vardas107           Pavarde107          6     3     6     8     3     7     5     8     
Vardas108           Pavarde108          7     3     2     4     4     2     8     8     
Vardas109           Pavarde109          3     2     10    3     4     4     9     4     
Vardas110           Pavarde110          3     1     2     1     8     10    5     7     
Vardas111           Pavarde111          4     10    4     5     9     1     5     6     
Vardas112           Pavarde112          8     9     4     5     9     5     4     9     
Vardas113           Pavarde113          4     5     2     2     1     4     6     10    
Vardas114           Pavarde114          5     6     5     9     9     9     4     4     
Vardas115           Pavarde115          9     3     4     2     10    3     1     3     
Vardas116           Pavarde116          7     5     3     4     3     9     8     8     
Vardas117           Pavarde117          9     4     2     9     6     5     5     1     
Vardas118           Pavarde118          1     9     7     5     2     1     1     10    
Vardas119           Pavarde119          6     6     6     7     3     4     3     8     
Vardas120           Pavarde120          7     7     9     7     3     5     2     3     
Vardas121           Pavarde121          8     1     4     2     1     3     2     1     
Vardas122           Pavarde122          4     6     7     2     7     9     5     9     
Vardas123           Pavarde123          6     1     7     4     3     9     4     8     
Vardas124           Pavarde124          3     5     2     8     3     1     6     9     
Vardas125           Pavarde125          8     9     8     1     3     1     8     6     
Vardas126           Pavarde126          3     9     2     8     5     2     10    3     
Vardas127           Pavarde127          6     10    7     3     3     3     7     3     
Vardas128           Pavarde128          5     3     9     2     3     4     8     4     
Vardas129           Pavarde129          7     5     8     4     6     8     7     3     
Vardas130           Pavarde130          7     4     6     7     10    7     8     7     
Vardas131           Pavarde131          9     6     9     4     4     4     8     1     
Vardas132           Pavarde132          4     7     9     8     3     5     4     10    
Vardas133           Pavarde133          7     8     10    2     7     1     5     7     
Vardas134           Pavarde134          1     3     2     6     1     8     5     4     
Vardas135           Pavarde135          10    10    5     10    4     6     5     3     
Vardas136           Pavarde136          6     5     4     2     7     8     8     9     
Vardas137           Pavarde137          2     8     6     4     3     8     3     10    
Vardas138           Pavarde138          6     5     10    3     2     9     10    10    
Vardas139           Pavarde139          7     2     1     4     6     2     3     7     
Vardas140           Pavarde140          7     9     7     10    6     8     2     2     
Vardas141           Pavarde141          8     3     10    4     3     1     5     4     
Vardas142           Pavarde142          1     1     1     2     9     1     7     1     
Vardas143           Pavarde143          7     5     4     8     6     9     6     3     
Vardas144           Pavarde144          6     4     10    10    1     6     1     4     
Vardas145           Pavarde145          2     10    8     10    6     3     6     9     
Vardas146           Pavarde146          10    4     1     4     7     1     9     8     
Vardas147           Pavarde147          7     6     8     2     10    10    1     10    
Vardas148           Pavarde148          6     7     3     9     4     4     9     7     
Vardas149           Pavarde149          5     8     4     6     10    3     6     2     
Vardas150           Pavarde150          8     10    2     5     7     5     6     1     
Vardas151           Pavarde151          4     5     6     5     7     5     6     2     
Vardas152           Pavarde152          1     6     10    2     2     8     2     3     
Vardas153           Pavarde153          10    1     9     9     2     5     10    3     
Vardas154           Pavarde154          3     7     8     3     9     10    1     4     
Vardas155           Pavarde155          3     3     9     7     4     3     2     9     
Vardas156           Pavarde156          5     8     3     4     3     3     3     6     
Vardas157           Pavarde157          3     4     7     7     10    8     2     8     
Vardas158           Pavarde158          5     8     6     7     1     3     10    2     
Vardas159           Pavarde159          7     4     9     8     9     10    7     10    
Vardas160           Pavarde160          3     4     8     6     7     4     8     1     
Vardas161           Pavarde161          3     8     4     6     2     3     2     8     
Vardas162           Pavarde162          8     8     8     3     8     6     9     3     
Vardas163           Pavarde163          9     9     8     1     4     9     9     7     
Vardas164           Pavarde164          9     6     10    1     10    2     5     1     
Vardas165           Pavarde165          9     3     8     3     9     8     6     8     
Vardas166           Pavarde166          4     2     2     2     6     8     4     3     
Vardas167           Pavarde167          5     5     6     2     6     3     8     4     
Vardas168           Pavarde168          2     3     3     6     2     2     10    8     
Vardas169           Pavarde169          2     4     7     9     8     6     6     4     
Vardas170           Pavarde170          4     4     3     4     2     2     7     7     
Vardas171           Pavarde171          2     8     7     10    7     2     3     10    
Vardas172           Pavarde172          5     9     2     2     4     6     4     2     
Vardas173           Pavarde173          1     8     5     10    8     8     1     2     
Vardas174           Pavarde174          3     2     9     7     7     2     7     8     
Vardas175           Pavarde175          2     3     3     1     2     3     8     8     
Vardas176           Pavarde176          9     5     2     8     8     4     9     5     
Vardas177           Pavarde177          9     5     10    4     4     4     7     1     
Vardas178           Pavarde178          10    8     10    10    6     9     8     7     
Vardas179           Pavarde179          5     1     10    5     7     10    6     4     
Vardas180           Pavarde180          1     6     3     4     5     1     8     2     
Vardas181           Pavarde181          9     10    9     8     8     9     7     3     
Vardas182           Pavarde182          5     4     8     5     2     10    2     7     
Vardas183           Pavarde183          8     8     5     1     10    8     4     8     
Vardas184           Pavarde184          2     6     5     10    6     6     9     9     
Vardas185           Pavarde185          3     4     4     8     8     7     1     2     
Vardas186           Pavarde186          5     6     7     2     4     5     4     3     
Vardas187           Pavarde187          2     6     8     9     5     8     6     3     
Vardas188           Pavarde188          7     10    9     6     3     7     1     2     
Vardas189           Pavarde189          6     1     5     6     3     5     2     2     
Vardas190           Pavarde190          3     8     1     10    3     2     4     8     
Vardas191           Pavarde191          1     8     7     9     2     8     5     7     
Vardas192           Pavarde192          4     9     8     5     6     9     9     6     
Vardas193           Pavarde193          1     7     7     8     3     6     2     10    
Vardas194           Pavarde194          4     4     6     3     1     2     10    5     
Vardas195           Pavarde195          9     7     4     6     10    3     10    8     
Vardas196           Pavarde196          10    9     6     6     4     7     7     1     
Vardas197           Pavarde197          3     3     4     7     5     4     3     3     
Vardas198           Pavarde198          9     6     3     1     1     6     10    7     
Vardas199           Pavarde199          5     4     3     8     8     2     2     6     
Vardas200           Pavarde200          5     9     10    1     4     1     3     10    
Vardas201           Pavarde201          1     10    6     10    6     10    8     9     
Vardas202           Pavarde202          3     9     6     5     4     9     9     4     
Vardas203           Pavarde203          1     6     8     9     6     1     4     10    
Vardas204           Pavarde204          7     1     8     4     4     2     2     5     
Vardas205           Pavarde205          8     1     5     2     10    2     7     4     
Vardas206           Pavarde206          1     4     1     6     5     1     7     4     
Vardas207           Pavarde207          10    9     7     2     5     5     4     10    
Vardas208           Pavarde208          5     8     8     5     8     3     4     8     
Vardas209           Pavarde209          3     5     6     8     9     9     1     6     
Vardas210           Pavarde210          1     2     6     10    3     9     2     7     
Vardas211           Pavarde211          2     9     6     10    3     9     5     8     
Vardas212           Pavarde212          4     9     4     5     3     4     10    10    
Vardas213           Pavarde213          5     2     7     9     4     2     4     2     
Vardas214           Pavarde214          2     1     9     7     7     2     9     4     
Vardas215           Pavarde215          1     7     6     1     10    9     7     10    
Vardas216           Pavarde216          4     2     2     1     3     3     2     9     
Vardas217           Pavarde217          3     8     3     6     1     4     7     1     
Vardas218           Pavarde218          1     1     4     1     4     2     6     6     
Vardas219           Pavarde219          6     2     7     1     3     9     10    4     
Vardas220           Pavarde220          3     2     4     4     1     5     3     2     
Vardas221           Pavarde221          3     4     6     8     5     5     8     4     
Vardas222           Pavarde222          7     3     9     4     8     10    3     5     
Vardas223           Pavarde223          6     2     2     8     7     2     4     5     
Vardas224           Pavarde224          2     4     8     5     10    3     1     9     
Vardas225           Pavarde225          2     3     3     4     3     3     1     6     
Vardas226           Pavarde226          3     10    10    10    8     6     10    1     
Vardas227           Pavarde227          9     2     8     6     8     5     1     6     
Vardas228           Pavarde228          9     4     8     1     9     6     10    10    
Vardas229           Pavarde229          7     3     1     8     9     4     10    8     
Vardas230           Pavarde230          6     1     1     5     6     1     3     8     
Vardas231           Pavarde231          5     5     5     10    9     5     9     10    
Vardas232           Pavarde232          9     8     7     7     9     9     10    10    
Vardas233           Pavarde233          7     3     3     10    3     8     9     9     
Vardas234           Pavarde234          9     6     3     9     2     3     2     5     
Vardas235           Pavarde235          5     3     5     7     4     7     10    9     
Vardas236           Pavarde236          10    8     9     2     4     10    10    5     
Vardas237           Pavarde237          3     8     2     9     9     9     5     8     
Vardas238           Pavarde238          8     7     10    2     5     5     7     6     
Vardas239           Pavarde239          1     3     5     7     9     3     4     3     
Vardas240           Pavarde240          8     8     1     7     5     1     4     1     
Vardas241           Pavarde241          10    8     8     3     5     8     8     6     
Vardas242           Pavarde242          2     2     4     4     4     8     3     3     
Vardas243           Pavarde243          10    2     5     10    1     1     10    9     
Vardas244           Pavarde244          7     2     4     2     4     1     3     9     
Vardas245           Pavarde245          3     4     10    8     6     6     3     5     
Vardas246           Pavarde246          3     7     5     10    2     6     10    9     
Vardas247           Pavarde247          3     6     8     1     2     6     8     7     
Vardas248           Pavarde248          5     10    5     5     9     9     4     8     
Vardas249           Pavarde249          4     6     6     7     2     4     8     1     
Vardas250           Pavarde250          3     6     9     9     2     4     6     7     
Vardas251           Pavarde251          7     4     8     6     2     7     9     1     
Vardas252           Pavarde252          3     8     7     10    1     5     1     4     
Vardas253           Pavarde253          10    9     7     7     2     8     10    1     
Vardas254           Pavarde254          9     1     9     5     4     9     7     3     
Vardas255           Pavarde255          7     8     8     5     1     2     10    6     
Vardas256           Pavarde256          6     4     2     6     1     4     2     3     
Vardas257           Pavarde257          10    6     9     10    2     2     9     3     
Vardas258           Pavarde258          10    10    2     4     2     8     5     9     
Vardas259           Pavarde259          3     7     8     5     6     10    4     4     
Vardas260           Pavarde260          8     9     5     4     6     9     9     9     
Vardas261           Pavarde261          5     1     9     3     4     1     7     9     
Vardas262           Pavarde262          7     3     4     3     4     5     4     8     
Vardas263           Pavarde263          4     4     4     3     1     2     8     8     
Vardas264           Pavarde264          6     8     3     6     3     2     10    4     
Vardas265           Pavarde265          6     1     9     9     7     6     3     10    
Vardas266           Pavarde266          1     1     6     6     7     4     2     6     
Vardas267           Pavarde267          8     5     8     4     5     2     10    8     
Vardas268           Pavarde268          10    6     2     4     4     10    10    9     
Vardas269           Pavarde269          6     5     10    7     6     6     7     10    
Vardas270           Pavarde270          2     3     8     5     8     6     7     1     
Vardas271           Pavarde271          6     7     6     1     4     1     3     4     
Vardas272           Pavarde272          8     3     3     10    9     4     10    7     
Vardas273           Pavarde273          2     7     8     9     7     6     8     1     
Vardas274           Pavarde274          2     6     6     3     2     10    2     1     
Vardas275           Pavarde275          2     4     9     5     9     8     4     5     
Vardas276           Pavarde276          7     2     6     7     7     6     10    2     
Vardas277           Pavarde277          5     1     8     6     10    10    10    6     
Vardas278           Pavarde278          9     10    8     10    2     10    3     7     
Vardas279           Pavarde279          3     9     3     9     7     3     9     3     
Vardas280           Pavarde280          10    5     5     6     10    9     5     6     
Vardas281           Pavarde281          4     7     2     10    2     10    6     6     
Vardas282           Pavarde282          10    7     6     2     6     1     7     2     
Vardas283           Pavarde283          6     9     1     8     5     4     1     6     
Vardas284           Pavarde284          7     5     1     4     5     3     5     3     
Vardas285           Pavarde285          5     3     5     1     9     7     2     9     
Vardas286           Pavarde286          1     8     4     8     10    4     7     6     
Vardas287           Pavarde287          2     7     6     3     8     10    10    7     
Vardas288           Pavarde288          7     7     10    8     9     9     8     4     
Vardas289           Pavarde289          5     7     1     4     10    8     6     5     
Vardas290           Pavarde290          10    10    10    8     5     1     1     1     
Vardas291           Pavarde291          6     9     10    2     6     4     10    9     
Vardas292           Pavarde292          6     9     1     9     5     6     6     9     
Vardas293           Pavarde293          7     1     8     9     6     9     5     2     
Vardas294           Pavarde294          1     8     7     9     3     7     5     7     
Vardas295           Pavarde295          2     7     3     9     6     7     1     2     
Vardas296           Pavarde296          6     4     2     6     4     6     5     6     
Vardas297           Pavarde297          6     9     6     2     4     1     8     10    
Vardas298           Pavarde298          1     2     5     3     1     7     8     7     
Vardas299           Pavarde299          9     6     8     4     10    9     6     6     
Vardas300           Pavarde300          6     2     2     6     10    6     1     3     
Vardas301           Pavarde301          7     1     5     2     3     8     1     6     
Vardas302           Pavarde302          6     6     7     4     2     5     1     3     
Vardas303           Pavarde303          8     1     6     4     3     9     7     9     
Vardas304           Pavarde304          7     8     5     10    2     8     7     6     
Vardas305           Pavarde305          4     3     6     7     10    9     5     3     
Vardas306           Pavarde306          7     8     10    7     9     4     8     9     
Vardas307           Pavarde307          6     1     7     9     1     8     5     1     
Vardas308           Pavarde308          10    3     3     8     6     7     3     8     
Vardas309           Pavarde309          4     9     7     7     2     7     2     1     
Vardas310           Pavarde310          8     10    10    2     3     9     4     6     
Vardas311           Pavarde311          6     6     4     7     3     6     9     3     
Vardas312           Pavarde312          10    5     10    2     2     8     8     6     
Vardas313           Pavarde313          9     7     7     7     3     10    3     2     
Vardas314           Pavarde314          4     2     5     5     9     8     1     9     
Vardas315           Pavarde315          3     3     7     9     10    8     5     10    
Vardas316           Pavarde316          9     7     4     10    1     5     5     5     
Vardas317           Pavarde317          10    4     8     5     8     1     4     3     
Vardas318           Pavarde318          2     2     4     1     2     5     7     10    
Vardas319           Pavarde319          6     9     6     4     7     4     3     8     
Vardas320           Pavarde320          9     8     4     3     6     1     6     1     
Vardas321           Pavarde321          7     9     5     10    8     7     4     2     
Vardas322           Pavarde322          3     8     10    10    6     3     2     5     
Vardas323           Pavarde323          6     4     5     10    9     3     1     7     
Vardas324           Pavarde324          7     8     5     4     10    9     5     4     
Vardas325           Pavarde325          5     1     10    2     10    9     6     3     
Vardas326           Pavarde326          2     2     3     2     8     1     6     8     
Vardas327           Pavarde327          4     10    2     9     4     8     3     3     
Vardas328           Pavarde328          9     1     3     3     6     9     9     5     
Vardas329           Pavarde329          1     4     5     3     1     9     10    3     
Vardas330           Pavarde330          6     5     10    2     3     8     1     10    
Vardas331           Pavarde331          8     6     7     10    7     9     9     1     
Vardas332           Pavarde332          8     4     9     2     8     6     5     6     
Vardas333           Pavarde333          2     8     3     10    4     3     1     2     
Vardas334           Pavarde334          2     2     7     7     10    7     10    10    
Vardas335           Pavarde335          5     7     4     7     5     10    9     6     
Vardas336           Pavarde336          5     9     7     5     4     9     1     1     
Vardas337           Pavarde337          3     6     4     9     4     2     7     3     
Vardas338           Pavarde338          4     6     2     3     6     4     7     3     
Vardas339           Pavarde339          6     10    1     8     7     4     8     2     
Vardas340           Pavarde340          5     4     3     3     7     10    10    3     
Vardas341           Pavarde341          8     5     1     8     8     7     3     10    
Vardas342           Pavarde342          5     1     9     2     10    9     9     10    
Vardas343           Pavarde343          2     1     8     7     4     3     2     7     
Vardas344           Pavarde344          5     7     5     7     3     6     4     4     
Vardas345           Pavarde345          8     9     8     10    5     2     9     5     
Vardas346           Pavarde346          8     5     6     6     1     1     7     3     
Vardas347           Pavarde347          2     4     8     1     9     3     1     3     
Vardas348           Pavarde348          7     1     1     4     3     9     5     7     
Vardas349           Pavarde349          7     5     6     4     9     4     6     1     
Vardas350           Pavarde350          6     5     1     9     1     7     5     4     
Vardas351           Pavarde351          5     5     9     7     3     2     9     1     
Vardas352           Pavarde352          10    4     3     5     2     10    1     8     
Vardas353           Pavarde353          8     10    5     6     9     6     5     6     
Vardas354           Pavarde354          10    10    9     5     9     1     9     9     
Vardas355           Pavarde355          2     10    9     7     7     5     6     3     
Vardas356           Pavarde356          2     3     10    3     1     2     6     9     
Vardas357           Pavarde357          9     6     7     6     6     6     9     8     
Vardas358           Pavarde358          9     1     4     8     7     6     1     6     
Vardas359           Pavarde359          9     1     2     1     8     1     8     9     
Vardas360           Pavarde360          8     9     10    5     7     9     10    5     
Vardas361           Pavarde361          9     10    6     2     9     3     5     6     
Vardas362           Pavarde362          2     4     5     10    7     3     3     6     
Vardas363           Pavarde363          9     10    8     5     10    10    1     6     
Vardas364           Pavarde364          8     9     4     2     4     4     3     10    
Vardas365           Pavarde365          7     7     10    8     5     6     9     4     
Vardas366           Pavarde366          8     7     9     7     6     8     2     8     
Vardas367           Pavarde367          2     5     2     10    2     2     1     7     
Vardas368           Pavarde368          5     3     3     9     7     3     8     2     
Vardas369           Pavarde369          3     7     4     7     1     5     8     4     
Vardas370           Pavarde370          6     4     8     5     3     7     6     7     
Vardas371           Pavarde371          1     4     5     9     9     1     1     6     
Vardas372           Pavarde372          4     9     9     4     4     9     7     2     
Vardas373           Pavarde373          8     5     8     4     6     5     4     5     
Vardas374           Pavarde374          8     3     10    7     3     7     4     7     
Vardas375           Pavarde375          10    10    1     8     10    9     5     7     
Vardas376           Pavarde376          5     5     10    1     5     3     3     10    
Vardas377           Pavarde377          2     4     9     1     2     10    6     3     
Vardas378           Pavarde378          3     4     3     10    5     8     6     10    
Vardas379           Pavarde379          10    6     5     3     6     8     1     10    
Vardas380           Pavarde380          5     7     3     4     3     1     5     6     
Vardas381           Pavarde381          8     4     3     6     2     5     10    9     
Vardas382           Pavarde382          2     6     7     10    5     4     5     9     
Vardas383           Pavarde383          4     9     7     4     4     8     1     5     
Vardas384           Pavarde384          2     1     9     10    3     8     1     3     
Vardas385           Pavarde385          2     7     1     1     3     9     9     7     
Vardas386           Pavarde386          2     10    1     9     1     1     3     7     
Vardas387           Pavarde387          4     1     9     9     1     3     9     6     
Vardas388           Pavarde388          1     2     6     4     6     9     9     2     
Vardas389           Pavarde389          1     4     9     1     6     10    8     5     
Vardas390           Pavarde390          4     1     2     10    5     6     9     3     
Vardas391           Pavarde391          7     4     5     3     9     9     3     7     
Vardas392           Pavarde392          6     3     1     4     1     6     9     5     
Vardas393           Pavarde393          4     6     3     3     2     3     7     8     
Vardas394           Pavarde394          10    9     10    5     2     7     5     5     
Vardas395           Pavarde395          1     5     9     9     9     10    3     6     
Vardas396           Pavarde396          10    9     8     8     6     6     7     4     
Vardas397           Pavarde397          6     2     3     1     2     2     3     8     
Vardas398           Pavarde398          9     9     6     2     8     3     2     3     
Vardas399           Pavarde399          10    1     7     7     5     10    6     5     
Vardas400           Pavarde400          6     8     1     2     1     8     6     3     
Vardas401           Pavarde401          2     3     6     1     3     10    8     4     
Vardas402           Pavarde402          3     2     2     10    3     1     8     1     
Vardas403           Pavarde403          5     5     8     9     7     3     6     10    
Vardas404           Pavarde404          7     6     4     1     1     4     10    2     
Vardas405           Pavarde405          8     5     4     3     9     4     5     6     
Vardas406           Pavarde406          9     6     2     3     5     10    8     3     
Vardas407           Pavarde407          4     2     2     4     2     10    4     4     
Vardas408           Pavarde408          4     6     7     6     10    1     7     5     
Vardas409           Pavarde409          3     6     10    8     3     3     6     8     
Vardas410           Pavarde410          9     7     4     3     3     10    2     5     
Vardas411           Pavarde411          3     6     8     8     7     10    6     8     
Vardas412           Pavarde412          5     7     8     4     9     6     7     8     
Vardas413           Pavarde413          1     7     9     8     1     7     8     3     
Vardas414           Pavarde414          2     2     2     7     5     5     7     5     
Vardas415           Pavarde415          6     9     1     9     2     8     9     4     
Vardas416           Pavarde416          9     6     5     4     3     7     10    10    
Vardas417           Pavarde417          5     3     5     5     2     6     8     7     
Vardas418           Pavarde418          1     8     7     1     8     7     6     8     
Vardas419           Pavarde419          4     4     3     2     3     8     9     10    
Vardas420           Pavarde420          4     2     6     3     1     10    6     10    
Vardas421           Pavarde421          3     10    10    2     2     6     5     10    
Vardas422           Pavarde422          9     9     7     6     10    8     10    9     
Vardas423           Pavarde423          1     8     2     7     5     2     9     3     
Vardas424           Pavarde424          1     7     10    2     8     2     1     9     
Vardas425           Pavarde425          4     9     6     2     10    5     6     1     
Vardas426           Pavarde426          9     2     7     4     2     10    8     8     
Vardas427           Pavarde427          8     5     2     1     4     1     5     1     
Vardas428           Pavarde428          10    3     3     10    6     10    9     5     
Vardas429           Pavarde429          1     7     1     7     3     1     7     2     
Vardas430           Pavarde430          5     2     8     9     9     8     8     3     
Vardas431           Pavarde431          9     9     7     4     9     2     2     8     
Vardas432           Pavarde432          2     9     2     4     2     8     6     7     
Vardas433           Pavarde433          6     6     2     3     1     7     9     9     
Vardas434           Pavarde434          10    2     6     4     6     1     5     7     
Vardas435           Pavarde435          7     5     2     2     2     8     4     7     
Vardas436           Pavarde436          6     2     6     8     4     1     3     9     
Vardas437           Pavarde437          8     9     4     1     7     4     8     5     
Vardas438           Pavarde438          2     6     9     7     4     2     3     4     
Vardas439           Pavarde439          5     9     3     6     5     5     8     2     
Vardas440           Pavarde440          2     8     6     10    8     4     6     9     
Vardas441           Pavarde441          1     10    3     7     7     3     10    2     
Vardas442           Pavarde442          7     6     3     2     4     9     6     8     
Vardas443           Pavarde443          8     9     1     4     7     1     8     1     
Vardas444           Pavarde444          4     8     9     2     3     8     1     6     
Vardas445           Pavarde445          10    10    6     5     6     10    10    7     
Vardas446           Pavarde446          8     7     8     8     5     7     2     8     
Vardas447           Pavarde447          7     1     2     8     7     10    6     5     
Vardas448           Pavarde448          9     7     3     3     10    9     6     6     
Vardas449           Pavarde449          1     8     9     9     8     1     3     6     
Vardas450           Pavarde450          10    6     7     5     9     8     9     4     
Vardas451           Pavarde451          1     4     3     3     5     2     10    4     
Vardas452           Pavarde452          5     7     1     6     4     9     9     7     
Vardas453           Pavarde453          7     10    8     4     2     9     8     7     
Vardas454           Pavarde454          4     4     10    5     3     1     9     6     
Vardas455           Pavarde455          3     5     4     5     1     7     4     3     
Vardas456           Pavarde456          5     8     6     1     8     9     2     5     
Vardas457           Pavarde457          5     1     7     8     5     3     6     5     
Vardas458           Pavarde458          3     1     4     1     4     5     2     1     
Vardas459           Pavarde459          9     6     2     10    10    3     10    6     
Vardas460           Pavarde460          4     7     10    10    6     2     7     5     
Vardas461           Pavarde461          10    2     4     3     10    6     1     10    
Vardas462           Pavarde462          7     6     5     2     9     4     4     1     
Vardas463           Pavarde463          8     8     9     1     8     2     2     9     
